"""Curso"",""Nombre"",""Credito"",""Departamento"""
"AA0010,""Taller de Inducción a Competencias Docentes para Auxiliares"",""0"",""AA - Área para el Aprendizaje de la Ingeniería y Ciencias A2IC"""
"AA0020,""Taller de Facilitadores de Trabajo en Equipo en Cursos de Proyecto"",""0"",""AA - Área para el Aprendizaje de la Ingeniería y Ciencias A2IC"""
"AA0030,""Taller de Ayudante de Corrección en Cursos Masivos"",""0"",""AA - Área para el Aprendizaje de la Ingeniería y Ciencias A2IC"""
"AA0040,""Taller de Retroalimentación de Competencias Comunicativas."",""0"",""AA - Área para el Aprendizaje de la Ingeniería y Ciencias A2IC"""
"AA0050,""Taller para Auxiliares de Cursos en Formato de Resolución de Problemas"",""0"",""AA - Área para el Aprendizaje de la Ingeniería y Ciencias A2IC"""
"AS2001,""Astronomía General"",""6"",""AS - Departamento de Astronomía"""
"AS3004,""Medio Intergaláctico"",""6"",""AS - Departamento de Astronomía"""
"AS3101,""Astrofísica de Estrellas"",""6"",""AS - Departamento de Astronomía"""
"AS3201,""Astronomía Experimental"",""6"",""AS - Departamento de Astronomía"""
"AS4101,""Astrofísica de Galaxias"",""6"",""AS - Departamento de Astronomía"""
"AS4107,""Investigación Dirigida"",""6"",""AS - Departamento de Astronomía"""
"AS4602,""Desarrollo Profesional en Astronomía"",""6"",""AS - Departamento de Astronomía"""
"AS4901,""Trabajo Tutorial Básico"",""7"",""AS - Departamento de Astronomía"""
"AS201,""Astronomía General"",""5"",""AS - Departamento de Astronomía"""
"AS710,""Procesos Radiativos en Astrofísica"",""8"",""AS - Departamento de Astronomía"""
"AS750,""Astronomía Observacional"",""8"",""AS - Departamento de Astronomía"""
"AS752,""Introducción a las Ciencias Planetarias"",""8"",""AS - Departamento de Astronomía"""
"AS794,""Taller de Investigación I"",""8"",""AS - Departamento de Astronomía"""
"AS795,""Taller de Investigación II"",""8"",""AS - Departamento de Astronomía"""
"AS801,""Taller de Investigación III"",""15"",""AS - Departamento de Astronomía"""
"AS802,""Taller de Investigación IV"",""15"",""AS - Departamento de Astronomía"""
"AS803,""Taller de Investigación V"",""15"",""AS - Departamento de Astronomía"""
"AS895,""Trabajo de Tesis I"",""30"",""AS - Departamento de Astronomía"""
"AS896,""Trabajo de Tesis II"",""30"",""AS - Departamento de Astronomía"""
"AS897,""Tesis III"",""30"",""AS - Departamento de Astronomía"""
"AS898,""Trabajo de Tesis IV"",""30"",""AS - Departamento de Astronomía"""
"AS899,""Trabajo de Tesis V"",""30"",""AS - Departamento de Astronomía"""
"AS900,""Trabajo de Tesis VI"",""30"",""AS - Departamento de Astronomía"""
"AS901,""Trabajo de Tesis VII"",""30"",""AS - Departamento de Astronomía"""
"AS902,""Trabajo de Tesis VIII"",""30"",""AS - Departamento de Astronomía"""
"CC1000,""Herramientas Computacionales para Ingeniería y Ciencias"",""3"",""CC - Departamento de Ciencias de la Computación"""
"CC1002,""Introducción a la Programación"",""6"",""CC - Departamento de Ciencias de la Computación"""
"CC3001,""Algoritmos y Estructuras de Datos"",""6"",""CC - Departamento de Ciencias de la Computación"""
