"Codigo","Seccion","Tipo","Dia","Inicio","Final"
"AA0010","1","Catedra","Martes","16:15","17:45"
"AA0010","2","Catedra","Miércoles","16:15","17:45"
"AA0010","3","Catedra","Miércoles","16:15","17:45"
"AA0020","1","Catedra","Lunes","16:15","17:45"
"AA0030","1","Catedra","Martes","16:15","17:45"
"AA0030","2","Catedra","Miércoles","16:15","17:45"
"AA0040","1","Catedra","Jueves","16:15","17:45"
"AA0050","1","Catedra","Miércoles","12:00","13:30"
"AS2001","1","Catedra","Jueves","14:30","16:00"
"AS2001","1","Auxiliar","Lunes","16:15","17:45"
"AS3004","1","Catedra","Jueves","16:15","17:45"
"AS3004","1","Auxiliar","Miércoles","16:15","17:45"
"AS3101","1","Catedra","Jueves","14:30","16:00"
"AS3101","1","Auxiliar","Miércoles","14:30","16:00"
"AS3201","1","Catedra","Lunes","16:15","21:00"
"AS3201","2","Catedra","Miércoles","14:30","19:30"
"AS4101","1","Catedra","Jueves","10:15","11:45"
"AS4101","1","Auxiliar","Martes","16:15","17:45"
"AS4107","1","","","",""
"AS4602","1","Catedra","Lunes","08:30","11:45"
"AS4901","1","","","",""
"AS201","1","","","",""
"AS710","1","","","",""
"AS750","1","","","",""
"AS752","1","","","",""
"AS794","1","","","",""
"AS795","1","","","",""
"AS801","1","","","",""
"AS802","1","","","",""
"AS803","1","","","",""
"AS895","1","","","",""
"AS896","1","","","",""
"AS897","1","","","",""
"AS898","1","","","",""
"AS899","1","","","",""
"AS900","1","","","",""
"AS901","1","","","",""
"AS902","1","","","",""
"CC1000","1","Catedra","Miércoles","08:30","10:00"
"CC1000","2","Catedra","Lunes","12:00","13:30"
"CC1000","3","Catedra","Viernes","12:00","13:30"
"CC1000","4","Catedra","Martes","16:15","17:45"
"CC1000","5","Catedra","Martes","08:30","10:00"
"CC1000","6","Catedra","Lunes","08:30","10:00"
"CC1000","7","Catedra","Martes","08:30","10:00"
"CC1000","8","Catedra","Jueves","14:30","16:00"
"CC1000","9","Catedra","Martes","14:30","16:00"
"CC1000","10","Catedra","Miércoles","10:15","11:45"
"CC1000","11","Catedra","Martes","14:30","16:00"
"CC1000","12","Catedra","Viernes","08:30","10:00"
"CC1000","13","Catedra","Lunes","10:15","11:45"
"CC1000","14","Catedra","Jueves","08:30","10:00"
"CC1000","15","Catedra","Viernes","08:30","10:00"
"CC1000","16","Catedra","Jueves","08:30","10:00"
"CC1000","17","Catedra","Jueves","16:15","17:45"
"CC1000","18","Catedra","Jueves","14:30","16:00"
"CC1002","1","Catedra","Jueves","08:30","10:00"
"CC1002","1","Auxiliar","Jueves","18:00","20:00"
"CC3001","1","Catedra","Jueves","10:15","11:45"
"CC3001","1","Auxiliar","Viernes","14:30","16:00"
"CC3001","2","Catedra","Miércoles","14:30","16:00"
"CC3001","2","Auxiliar","Viernes","14:30","16:00"
"CC3001","3","Catedra","Miércoles","14:30","16:00"
"CC3001","3","Auxiliar","Viernes","14:30","16:00"
"CC3002","1","Catedra","Miércoles","14:30","16:00"
"CC3002","1","Auxiliar","Viernes","12:00","13:30"
"CC3101","1","Catedra","Jueves","12:00","13:30"
"CC3101","1","Auxiliar","Lunes","12:00","13:30"
"CC3102","1","Catedra","Jueves","12:00","13:30"
"CC3102","1","Auxiliar","Miércoles","16:15","17:45"
"CC3201","1","Catedra","Miércoles","10:15","11:45"
"CC3201","1","Auxiliar","Viernes","10:15","11:45"
"CC3301","1","Catedra","Jueves","10:15","11:45"
