"|","|__Codigo","|__Seccion","|__Profesores__001","|__Profesores__002","|__Profesores__003","|__Profesores__004","|__Profesores__005","|__Profesores__006","|__Profesores__007","|__Profesores__008","|__Profesores__009","|__Profesores__010","|__Profesores__011","|__Profesores__012"
"0","AA0010","1","Ricardo Mancilla G.","","","","","","","","","","",""
"1","AA0010","2","Julio Contreras V.","","","","","","","","","","",""
"2","AA0010","3","Diana Bermejo E.","","","","","","","","","","",""
"3","AA0020","1","Maria Jose Sandoval S.","","","","","","","","","","",""
"4","AA0030","1","Juan Pedro Ross Olivares","","","","","","","","","","",""
"5","AA0030","2","Juan Pedro Ross Olivares","","","","","","","","","","",""
"6","AA0040","1","Felipe Martínez R.","","","","","","","","","","",""
"7","AA0050","1","","","","","","","","","","","",""
"8","AS2001","1","Paulina Lira T.","","","","","","","","","","",""
"9","AS3004","1","Sebastián López","","","","","","","","","","",""
"10","AS3101","1","Edgardo Costa H.","","","","","","","","","","",""
"11","AS3201","1","Edgardo Costa H.","Leonardo Bronfman A.","","","","","","","","","",""
"12","AS3201","2","Leonardo Bronfman A.","Ricardo Finger C.","","","","","","","","","",""
"13","AS4101","1","Ricardo Muñoz V.","","","","","","","","","","",""
"14","AS4107","1","Leonardo Bronfman A.","Simón Casassus M.","Andres Escala Astorquiza","Patricio Rojo","Laura Pérez M.","Valentino González C.","James Jenkins","","","","",""
"15","AS4602","1","James Jenkins","","","","","","","","","","",""
"16","AS4901","1","Paulina Lira T.","Sebastián López","Andres Escala Astorquiza","Patricio Rojo","Walter Max-Moerbeck A.","César I. Fuentes","Francisco Forster Buron","Laura Pérez M.","Manuel Merello F.","James Jenkins","Anibal Sierra M.","Enrico Congiu"
"17","AS201","1","","","","","","","","","","","",""
"18","AS710","1","Simón Casassus M.","","","","","","","","","","",""
"19","AS750","1","James Jenkins","","","","","","","","","","",""
"20","AS752","1","Patricio Rojo","","","","","","","","","","",""
"21","AS794","1","","","","","","","","","","","",""
"22","AS795","1","","","","","","","","","","","",""
"23","AS801","1","","","","","","","","","","","",""
"24","AS802","1","","","","","","","","","","","",""
"25","AS803","1","","","","","","","","","","","",""
"26","AS895","1","","","","","","","","","","","",""
"27","AS896","1","","","","","","","","","","","",""
"28","AS897","1","","","","","","","","","","","",""
"29","AS898","1","","","","","","","","","","","",""
"30","AS899","1","","","","","","","","","","","",""
"31","AS900","1","","","","","","","","","","","",""
"32","AS901","1","","","","","","","","","","","",""
"33","AS902","1","","","","","","","","","","","",""
"34","CC1000","1","Valentin Muñoz Apablaza","","","","","","","","","","",""
"35","CC1000","2","Juan Álvarez R.","","","","","","","","","","",""
"36","CC1000","3","Juan Álvarez R.","","","","","","","","","","",""
"37","CC1000","4","Valentin Muñoz Apablaza","","","","","","","","","","",""
"38","CC1000","5","Jocelyn Simmonds","","","","","","","","","","",""
"39","CC1000","6","Valentin Muñoz Apablaza","","","","","","","","","","",""
"40","CC1000","7","Patricio Inostroza F.","","","","","","","","","","",""
"41","CC1000","8","Eduardo Godoy Vega","","","","","","","","","","",""
"42","CC1000","9","Francisco J. Gutiérrez","","","","","","","","","","",""
"43","CC1000","10","Nelson Baloian T.","","","","","","","","","","",""
"44","CC1000","11","Juan Álvarez R.","","","","","","","","","","",""
"45","CC1000","12","Juan Álvarez R.","","","","","","","","","","",""
"46","CC1000","13","Nelson Baloian T.","","","","","","","","","","",""
"47","CC1000","14","Jocelyn Simmonds","","","","","","","","","","",""
"48","CC1000","15","Valentin Muñoz Apablaza","","","","","","","","","","",""
"49","CC1000","16","Patricio Inostroza F.","","","","","","","","","","",""
"50","CC1000","17","Eduardo Godoy Vega","","","","","","","","","","",""
"51","CC1000","18","Francisco J. Gutiérrez","","","","","","","","","","",""
"52","CC1002","1","Juan Álvarez R.","","","","","","","","","","",""
"53","CC3001","1","Iván Sipiran","","","","","","","","","","",""
"54","CC3001","2","Patricio Poblete","","","","","","","","","","",""
"55","CC3001","3","Nelson Baloian T.","","","","","","","","","","",""
"56","CC3002","1","Nancy Hitschfeld K.","","","","","","","","","","",""
"57","CC3101","1","Andrés Abeliuk","","","","","","","","","","",""
"58","CC3102","1","Jorge Pérez Rojas","","","","","","","","","","",""
"59","CC3201","1","Aidan Hogan","","","","","","","","","","",""
"60","CC3301","1","Luis Mateu B.","","","","","","","","","","",""
"61","CC3501","1","Daniel Calderón","","","","","","","","","","",""
"62","CC4001","1","Jorge Pérez Rojas","","","","","","","","","","",""
"63","CC4005","1","Jorge Pérez Rojas","","","","","","","","","","",""
"64","CC4101","1","Éric Tanter","","","","","","","","","","",""
"65","CC4102","1","Jérémy Barbay","","","","","","","","","","",""
"66","CC4301","1","Luis Mateu B.","","","","","","","","","","",""
"67","CC4302","1","Luis Mateu B.","","","","","","","","","","",""
"68","CC4303","1","Javier Bustos Jiménez","","","","","","","","","","",""
"69","CC4303","2","José M. Piquer","","","","","","","","","","",""
"70","CC4401","1","Jocelyn Simmonds","","","","","","","","","","",""
"71","CC4402","1","","","","","","","","","","","",""
"72","CC4901","1","Alexandre Bergel","","","","","","","","","","",""
"73","CC5002","1","Jose Urzua R.","","","","","","","","","","",""
"74","CC5201","1","Iván Sipiran","","","","","","","","","","",""
"75","CC5206","1","Bárbara Poblete","Felipe Bravo Marquez","","","","","","","","","",""
"76","CC5206","2","Bárbara Poblete","Felipe Bravo Marquez","","","","","","","","","",""
"77","CC5208","1","Benjamín Bustos","","","","","","","","","","",""
"78","CC5212","1","Aidan Hogan","","","","","","","","","","",""
"79","CC5213","1","Juan Manuel Barrios","","","","","","","","","","",""
"80","CC5301","1","Alejandro Hevia A.","","","","","","","","","","",""
"81","CC5304","1","Cesar Guerrero S.","","","","","","","","","","",""
"82","CC5322","1","Rodrigo Arenas A.","","","","","","","","","","",""
"83","CC5325","1","Eduardo Riveros Roca","Diego Vargas J.","","","","","","","","","",""
"84","CC5401","1","Sergio F. Ochoa D.","","","","","","","","","","",""
"85","CC5401","2","Sergio F. Ochoa D.","","","","","","","","","","",""
"86","CC5402","1","Cecilia Bastarrica","","","","","","","","","","",""
"87","CC5404","1","Andrés Muñoz Ordenes","","","","","","","","","","",""
"88","CC5408","1","Elías Zelada","","","","","","","","","","",""
"89","CC5501","1","María Cecilia Rivara Z.","","","","","","","","","","",""
"90","CC5504","1","Jaime Sanchez I.","","","","","","","","","","",""
"91","CC5509","1","Mauricio Cerda Villablanca","","","","","","","","","","",""
"92","CC5510","1","Francisco J. Gutiérrez","","","","","","","","","","",""
"93","CC5511","1","Jose Pino U.","Nelson Baloian T.","","","","","","","","","",""
"94","CC5601","1","Pablo González Jure","","","","","","","","","","",""
"95","CC5609","1","Adolfo Carrasco A.","","","","","","","","","","",""
"96","CC5613","1","Eduardo Godoy Vega","","","","","","","","","","",""
"97","CC5614","1","Andrea Rodríguez Silva","","","","","","","","","","",""
"98","CC5614","2","Andrea Rodríguez Silva","","","","","","","","","","",""
"99","CC5618","1","Hugo Beltran A.","","","","","","","","","","",""
"100","CC5701","1","Sandra De la Fuente G.","","","","","","","","","","",""
"101","CC5901","1","Alexandre Bergel","","","","","","","","","","",""
"102","CC5905","1","Jérémy Barbay","","","","","","","","","","",""
"103","CC5905","2","Aidan Hogan","","","","","","","","","","",""
"104","CC5905","3","María Cecilia Rivara Z.","","","","","","","","","","",""
"105","CC6205","1","Felipe Bravo Marquez","","","","","","","","","","",""
"106","CC6502","1","Jaime Sanchez I.","","","","","","","","","","",""
"107","CC6908","1","Aidan Hogan","","","","","","","","","","",""
"108","CC6909","1","Jocelyn Simmonds","","","","","","","","","","",""
"109","CC6909","2","Nancy Hitschfeld K.","","","","","","","","","","",""
"110","CC6909","3","Sergio F. Ochoa D.","Francisco J. Gutiérrez","","","","","","","","","",""
"111","CC6909","4","Claudio Gutiérrez","Aidan Hogan","","","","","","","","","",""
"112","CC6909","5","Bárbara Poblete","Jorge Pérez Rojas","Felipe Bravo Marquez","","","","","","","","",""
"113","CC6909","6","Benjamín Bustos","Iván Sipiran","","","","","","","","","",""
"114","CC6909","7","Éric Tanter","Federico Olmedo","","","","","","","","","",""
"115","CC6909","8","Alexandre Bergel","","","","","","","","","","",""
"116","CC6909","9","Alejandro Hevia A.","","","","","","","","","","",""
"117","CC6909","10","José M. Saavedra R.","","","","","","","","","","",""
"118","CC6909","11","José M. Piquer","","","","","","","","","","",""
"119","CC6909","12","Gonzalo Navarro","","","","","","","","","","",""
"120","CC6909","13","Jérémy Barbay","","","","","","","","","","",""
"121","CC7010","1","Gonzalo Navarro","","","","","","","","","","",""
"122","CC7015","1","Gonzalo Navarro","","","","","","","","","","",""
"123","CC7020","1","Gonzalo Navarro","","","","","","","","","","",""
"124","CC7126","1","Federico Olmedo","","","","","","","","","","",""
"125","CC7220","1","Aidan Hogan","","","","","","","","","","",""
"126","CC7221","1","José M. Saavedra R.","","","","","","","","","","",""
"127","CC7320","1","Gonzalo Navarro","","","","","","","","","","",""
"128","CC7325","1","Diego Arroyuelo B.","","","","","","","","","","",""
"129","CC7515","1","Nancy Hitschfeld K.","","","","","","","","","","",""
